mean_threshold,min_threshold,n_kept_local,n_escalated,escalation_rate,local_accuracy
-2.0,-5.0,269,0,0.0,0.8698884758364313
-2.0,-4.8,269,0,0.0,0.8698884758364313
-2.0,-4.6,269,0,0.0,0.8698884758364313
-2.0,-4.4,269,0,0.0,0.8698884758364313
-2.0,-4.2,269,0,0.0,0.8698884758364313
-2.0,-4.0,269,0,0.0,0.8698884758364313
-2.0,-3.8,269,0,0.0,0.8698884758364313
-2.0,-3.6,269,0,0.0,0.8698884758364313
-2.0,-3.4,269,0,0.0,0.8698884758364313
-2.0,-3.2,269,0,0.0,0.8698884758364313
-2.0,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-2.0,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-2.0,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-2.0,-2.4,265,4,0.01486988847583643,0.8679245283018868
-2.0,-2.2,261,8,0.02973977695167286,0.8659003831417624
-2.0,-2.0,259,10,0.03717472118959108,0.8687258687258688
-2.0,-1.8,254,15,0.055762081784386616,0.8700787401574803
-2.0,-1.6,242,27,0.10037174721189591,0.8842975206611571
-2.0,-1.4,228,41,0.1524163568773234,0.9035087719298246
-2.0,-1.2,209,60,0.22304832713754646,0.937799043062201
-2.0,-1.0,200,69,0.25650557620817843,0.945
-2.0,-0.8,173,96,0.35687732342007433,0.953757225433526
-2.0,-0.6,100,169,0.6282527881040892,0.96
-2.0,-0.4,39,230,0.8550185873605948,0.9487179487179487
-2.0,-0.2,8,261,0.9702602230483272,0.875
-2.0,0.0,1,268,0.9962825278810409,1.0
-1.9,-5.0,269,0,0.0,0.8698884758364313
-1.9,-4.8,269,0,0.0,0.8698884758364313
-1.9,-4.6,269,0,0.0,0.8698884758364313
-1.9,-4.4,269,0,0.0,0.8698884758364313
-1.9,-4.2,269,0,0.0,0.8698884758364313
-1.9,-4.0,269,0,0.0,0.8698884758364313
-1.9,-3.8,269,0,0.0,0.8698884758364313
-1.9,-3.6,269,0,0.0,0.8698884758364313
-1.9,-3.4,269,0,0.0,0.8698884758364313
-1.9,-3.2,269,0,0.0,0.8698884758364313
-1.9,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.9,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.9,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.9,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.9,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.9,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.9,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.9,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.9,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.9,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.9,-1.0,200,69,0.25650557620817843,0.945
-1.9,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.9,-0.6,100,169,0.6282527881040892,0.96
-1.9,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.9,-0.2,8,261,0.9702602230483272,0.875
-1.9,0.0,1,268,0.9962825278810409,1.0
-1.8,-5.0,269,0,0.0,0.8698884758364313
-1.8,-4.8,269,0,0.0,0.8698884758364313
-1.8,-4.6,269,0,0.0,0.8698884758364313
-1.8,-4.4,269,0,0.0,0.8698884758364313
-1.8,-4.2,269,0,0.0,0.8698884758364313
-1.8,-4.0,269,0,0.0,0.8698884758364313
-1.8,-3.8,269,0,0.0,0.8698884758364313
-1.8,-3.6,269,0,0.0,0.8698884758364313
-1.8,-3.4,269,0,0.0,0.8698884758364313
-1.8,-3.2,269,0,0.0,0.8698884758364313
-1.8,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.8,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.8,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.8,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.8,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.8,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.8,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.8,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.8,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.8,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.8,-1.0,200,69,0.25650557620817843,0.945
-1.8,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.8,-0.6,100,169,0.6282527881040892,0.96
-1.8,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.8,-0.2,8,261,0.9702602230483272,0.875
-1.8,0.0,1,268,0.9962825278810409,1.0
-1.7,-5.0,269,0,0.0,0.8698884758364313
-1.7,-4.8,269,0,0.0,0.8698884758364313
-1.7,-4.6,269,0,0.0,0.8698884758364313
-1.7,-4.4,269,0,0.0,0.8698884758364313
-1.7,-4.2,269,0,0.0,0.8698884758364313
-1.7,-4.0,269,0,0.0,0.8698884758364313
-1.7,-3.8,269,0,0.0,0.8698884758364313
-1.7,-3.6,269,0,0.0,0.8698884758364313
-1.7,-3.4,269,0,0.0,0.8698884758364313
-1.7,-3.2,269,0,0.0,0.8698884758364313
-1.7,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.7,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.7,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.7,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.7,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.7,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.7,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.7,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.7,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.7,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.7,-1.0,200,69,0.25650557620817843,0.945
-1.7,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.7,-0.6,100,169,0.6282527881040892,0.96
-1.7,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.7,-0.2,8,261,0.9702602230483272,0.875
-1.7,0.0,1,268,0.9962825278810409,1.0
-1.6,-5.0,269,0,0.0,0.8698884758364313
-1.6,-4.8,269,0,0.0,0.8698884758364313
-1.6,-4.6,269,0,0.0,0.8698884758364313
-1.6,-4.4,269,0,0.0,0.8698884758364313
-1.6,-4.2,269,0,0.0,0.8698884758364313
-1.6,-4.0,269,0,0.0,0.8698884758364313
-1.6,-3.8,269,0,0.0,0.8698884758364313
-1.6,-3.6,269,0,0.0,0.8698884758364313
-1.6,-3.4,269,0,0.0,0.8698884758364313
-1.6,-3.2,269,0,0.0,0.8698884758364313
-1.6,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.6,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.6,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.6,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.6,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.6,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.6,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.6,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.6,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.6,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.6,-1.0,200,69,0.25650557620817843,0.945
-1.6,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.6,-0.6,100,169,0.6282527881040892,0.96
-1.6,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.6,-0.2,8,261,0.9702602230483272,0.875
-1.6,0.0,1,268,0.9962825278810409,1.0
-1.5,-5.0,269,0,0.0,0.8698884758364313
-1.5,-4.8,269,0,0.0,0.8698884758364313
-1.5,-4.6,269,0,0.0,0.8698884758364313
-1.5,-4.4,269,0,0.0,0.8698884758364313
-1.5,-4.2,269,0,0.0,0.8698884758364313
-1.5,-4.0,269,0,0.0,0.8698884758364313
-1.5,-3.8,269,0,0.0,0.8698884758364313
-1.5,-3.6,269,0,0.0,0.8698884758364313
-1.5,-3.4,269,0,0.0,0.8698884758364313
-1.5,-3.2,269,0,0.0,0.8698884758364313
-1.5,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.5,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.5,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.5,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.5,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.5,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.5,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.5,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.5,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.5,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.5,-1.0,200,69,0.25650557620817843,0.945
-1.5,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.5,-0.6,100,169,0.6282527881040892,0.96
-1.5,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.5,-0.2,8,261,0.9702602230483272,0.875
-1.5,0.0,1,268,0.9962825278810409,1.0
-1.4,-5.0,269,0,0.0,0.8698884758364313
-1.4,-4.8,269,0,0.0,0.8698884758364313
-1.4,-4.6,269,0,0.0,0.8698884758364313
-1.4,-4.4,269,0,0.0,0.8698884758364313
-1.4,-4.2,269,0,0.0,0.8698884758364313
-1.4,-4.0,269,0,0.0,0.8698884758364313
-1.4,-3.8,269,0,0.0,0.8698884758364313
-1.4,-3.6,269,0,0.0,0.8698884758364313
-1.4,-3.4,269,0,0.0,0.8698884758364313
-1.4,-3.2,269,0,0.0,0.8698884758364313
-1.4,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.4,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.4,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.4,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.4,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.4,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.4,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.4,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.4,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.4,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.4,-1.0,200,69,0.25650557620817843,0.945
-1.4,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.4,-0.6,100,169,0.6282527881040892,0.96
-1.4,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.4,-0.2,8,261,0.9702602230483272,0.875
-1.4,0.0,1,268,0.9962825278810409,1.0
-1.3,-5.0,269,0,0.0,0.8698884758364313
-1.3,-4.8,269,0,0.0,0.8698884758364313
-1.3,-4.6,269,0,0.0,0.8698884758364313
-1.3,-4.4,269,0,0.0,0.8698884758364313
-1.3,-4.2,269,0,0.0,0.8698884758364313
-1.3,-4.0,269,0,0.0,0.8698884758364313
-1.3,-3.8,269,0,0.0,0.8698884758364313
-1.3,-3.6,269,0,0.0,0.8698884758364313
-1.3,-3.4,269,0,0.0,0.8698884758364313
-1.3,-3.2,269,0,0.0,0.8698884758364313
-1.3,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.3,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.3,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.3,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.3,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.3,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.3,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.3,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.3,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.3,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.3,-1.0,200,69,0.25650557620817843,0.945
-1.3,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.3,-0.6,100,169,0.6282527881040892,0.96
-1.3,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.3,-0.2,8,261,0.9702602230483272,0.875
-1.3,0.0,1,268,0.9962825278810409,1.0
-1.2,-5.0,269,0,0.0,0.8698884758364313
-1.2,-4.8,269,0,0.0,0.8698884758364313
-1.2,-4.6,269,0,0.0,0.8698884758364313
-1.2,-4.4,269,0,0.0,0.8698884758364313
-1.2,-4.2,269,0,0.0,0.8698884758364313
-1.2,-4.0,269,0,0.0,0.8698884758364313
-1.2,-3.8,269,0,0.0,0.8698884758364313
-1.2,-3.6,269,0,0.0,0.8698884758364313
-1.2,-3.4,269,0,0.0,0.8698884758364313
-1.2,-3.2,269,0,0.0,0.8698884758364313
-1.2,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.2,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.2,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.2,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.2,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.2,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.2,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.2,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.2,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.2,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.2,-1.0,200,69,0.25650557620817843,0.945
-1.2,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.2,-0.6,100,169,0.6282527881040892,0.96
-1.2,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.2,-0.2,8,261,0.9702602230483272,0.875
-1.2,0.0,1,268,0.9962825278810409,1.0
-1.1,-5.0,269,0,0.0,0.8698884758364313
-1.1,-4.8,269,0,0.0,0.8698884758364313
-1.1,-4.6,269,0,0.0,0.8698884758364313
-1.1,-4.4,269,0,0.0,0.8698884758364313
-1.1,-4.2,269,0,0.0,0.8698884758364313
-1.1,-4.0,269,0,0.0,0.8698884758364313
-1.1,-3.8,269,0,0.0,0.8698884758364313
-1.1,-3.6,269,0,0.0,0.8698884758364313
-1.1,-3.4,269,0,0.0,0.8698884758364313
-1.1,-3.2,269,0,0.0,0.8698884758364313
-1.1,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.1,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.1,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.1,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.1,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.1,-2.0,259,10,0.03717472118959108,0.8687258687258688
-1.1,-1.8,254,15,0.055762081784386616,0.8700787401574803
-1.1,-1.6,242,27,0.10037174721189591,0.8842975206611571
-1.1,-1.4,228,41,0.1524163568773234,0.9035087719298246
-1.1,-1.2,209,60,0.22304832713754646,0.937799043062201
-1.1,-1.0,200,69,0.25650557620817843,0.945
-1.1,-0.8,173,96,0.35687732342007433,0.953757225433526
-1.1,-0.6,100,169,0.6282527881040892,0.96
-1.1,-0.4,39,230,0.8550185873605948,0.9487179487179487
-1.1,-0.2,8,261,0.9702602230483272,0.875
-1.1,0.0,1,268,0.9962825278810409,1.0
-1.0,-5.0,269,0,0.0,0.8698884758364313
-1.0,-4.8,269,0,0.0,0.8698884758364313
-1.0,-4.6,269,0,0.0,0.8698884758364313
-1.0,-4.4,269,0,0.0,0.8698884758364313
-1.0,-4.2,269,0,0.0,0.8698884758364313
-1.0,-4.0,269,0,0.0,0.8698884758364313
-1.0,-3.8,269,0,0.0,0.8698884758364313
-1.0,-3.6,269,0,0.0,0.8698884758364313
-1.0,-3.4,269,0,0.0,0.8698884758364313
-1.0,-3.2,269,0,0.0,0.8698884758364313
-1.0,-3.0,268,1,0.0037174721189591076,0.8694029850746269
-1.0,-2.8,268,1,0.0037174721189591076,0.8694029850746269
-1.0,-2.6,268,1,0.0037174721189591076,0.8694029850746269
-1.0,-2.4,265,4,0.01486988847583643,0.8679245283018868
-1.0,-2.2,261,8,0.02973977695167286,0.8659003831417624
-1.0,-2.0,259,10,0.03717472118959108,0.8687258687258688
